id;original_name;genus;species;species_auth;infrasp1_rank;infrasp1;infrasp1_auth;infrasp2_rank;infrasp2;infrasp2_auth
26484;Vicia monantha Retz. subsp. triflora (Ten.) B.L.Burtt & P.Lewis;Vicia;monantha;Retz.;subsp;triflora;(Ten. ) B. L. Burtt & P. Lewis;;;
26485;Vicia monanthos (L.) Desf., non Retz., nom. illeg.;Vicia;monanthos;(L. ) Desf. , non Retz. , nom. illeg.;;;;;;
26486;Vicia narbonensis L. subsp. serratifolia (Jacq.) Ces.;Vicia;narbonensis;L.;subsp;serratifolia;(Jacq. ) Ces.;;;
26487;Vicia nigricans (M.Bieb.) Coss. & Germ.;Vicia;nigricans;(M. Bieb. ) Coss. & Germ.;;;;;;
26488;Vicia nigricans (M.Bieb.) Coss. & Germ., nom. illeg.;Vicia;nigricans;(M. Bieb. ) Coss. & Germ. , nom. illeg.;;;;;;
26489;Vicia olbiensis Reut.;Vicia;olbiensis;Reut.;;;;;;
26490;Vicia parviflora Cav.;Vicia;parviflora;Cav.;;;;;;
26491;Vicia pimpinelloides Seb. & Mauri;Vicia;pimpinelloides;Seb. & Mauri;;;;;;
26492;Vicia pubescens (DC.) Link;Vicia;pubescens;(DC. ) Link;;;;;;
26493;Vicia sativa L. subsp. amphicarpa (L.) Batt.;Vicia;sativa;L.;subsp;amphicarpa;(L. ) Batt.;;;
26494;Vicia sativa L. subsp. angustifolia (L.) Batt.;Vicia;sativa;L.;subsp;angustifolia;(L. ) Batt.;;;
26495;Vicia sativa L. subsp. cordata (Wulfen ex Hoppe) Batt.;Vicia;sativa;L.;subsp;cordata;(Wulfen ex Hoppe) Batt.;;;
26496;Vicia sativa L. subsp. incisa (M.Bieb.) Arcang.;Vicia;sativa;L.;subsp;incisa;(M. Bieb. ) Arcang.;;;
26497;Vicia sativa L. subsp. macrocarpa (Moris) Arcang.;Vicia;sativa;L.;subsp;macrocarpa;(Moris) Arcang.;;;
26498;Vicia sativa L. subsp. nigra (L.) Ehrh.;Vicia;sativa;L.;subsp;nigra;(L. ) Ehrh.;;;
26499;Vicia sativa L. subsp. segetalis (Thuill.) Gaudin;Vicia;sativa;L.;subsp;segetalis;(Thuill. ) Gaudin;;;
26500;Vicia sativa L. var. macrocarpa Moris;Vicia;sativa;L.;var;macrocarpa;Moris;;;
26501;Vicia sativa L. var. nigra L.;Vicia;sativa;L.;var;nigra;L.;;;
26502;Vicia striata M.Bieb.;Vicia;striata;M. Bieb.;;;;;;
26503;Vicia sylvatica L.;Vicia;sylvatica;L.;;;;;;
26504;Vicia tenuifolia Roth subsp. dalmatica (A. Kern.) Asch. & Graebn.;Vicia;tenuifolia;Roth;subsp;dalmatica;(A. Kern. ) Asch. & Graebn.;;;
26505;Vicia tenuissima (Bieb.) Sch. & Th.;Vicia;tenuissima;(Bieb. ) Sch. & Th.;;;;;;
26506;Vicia terronei (Ten.) Burnat;Vicia;terronei;(Ten. ) Burnat;;;;;;
26507;Vicia tetrasperma (L.) Schreb.;Vicia;tetrasperma;(L. ) Schreb.;;;;;;
26508;Vicia varia Host;Vicia;varia;Host;;;;;;
26509;Vicia varia Host var. eriocarpa Hausskn.;Vicia;varia;Host;var;eriocarpa;Hausskn.;;;
26510;Vicia vestita Boiss.;Vicia;vestita;Boiss.;;;;;;
26511;Vicia villosa Roth subsp. ambigua (Guss.) Kerguélen;Vicia;villosa;Roth;subsp;ambigua;(Guss. ) Kerguelen;;;
26512;Vicia villosa Roth subsp. eriocarpa (Hausskn.) P.W.Ball ;Vicia;villosa;Roth;subsp;eriocarpa;(Hausskn. ) P. W. Ball;;;
26513;Vicia villosa Roth subsp. microphylla (d'Urv.) P.W.Ball;Vicia;villosa;Roth;subsp;microphylla;(d'Urv. ) P. W. Ball;;;
26514;Vicia villosa Roth subsp. pseudocracca (Bertol.) P.W.Ball;Vicia;villosa;Roth;subsp;pseudocracca;(Bertol. ) P. W. Ball;;;
26515;Vicia villosa Roth subsp. varia (Host) Corb.;Vicia;villosa;Roth;subsp;varia;(Host) Corb.;;;
26516;Vigna aristata Piper;Vigna;aristata;Piper;;;;;;
26517;Vigna catjang (L.) Walp.;Vigna;catjang;(L. ) Walp.;;;;;;
